Severity;Time;Host;Problem;Urgency;Assignment Group
Warning;13.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;12.10.20 16:35;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;12.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.10.20 13:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.10.20 13:51;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.10.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Information;04.10.20 17:25;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.10.20 13:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;04.10.20 09:30;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.10.20 07:30;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.10.20 19:25;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.10.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.10.20 13:01;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Information;03.10.20 07:20;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;02.10.20 17:29;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Information;02.10.20 17:15;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;02.10.20 13:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;02.10.20 04:25;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;01.10.20 22:20;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;01.10.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.10.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;01.10.20 04:23;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;01.10.20 02:30;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:01;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Average;30.09.20 15:05;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Average;30.09.20 15:04;DC1;"""CDPSvc"" (Plattformdienst für verbundene Geräte) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;30.09.20 15:02;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;30.09.20 15:01;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
High;30.09.20 15:01;DC1;Unavailable by ICMP ping;3 - High;Network Services
Warning;30.09.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;30.09.20 10:30;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 09:38;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 09:21;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 09:04;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 08:49;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 08:07;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 06:38;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:57;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:37;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:24;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:08;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;29.09.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.09.20 13:01;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;28.09.20 15:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.09.20 13:01;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;28.09.20 02:23;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;27.09.20 16:18;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;27.09.20 16:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;26.09.20 14:35;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;26.09.20 14:31;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;25.09.20 14:53;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;25.09.20 14:51;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;24.09.20 14:43;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;24.09.20 14:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;23.09.20 14:48;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;23.09.20 14:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;23.09.20 09:11;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;23.09.20 02:00;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;22.09.20 14:31;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;22.09.20 14:29;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;22.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;22.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;21.09.20 21:13;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;21.09.20 21:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;21.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;20.09.20 16:13;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;20.09.20 16:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;20.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;19.09.20 14:43;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;19.09.20 14:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;19.09.20 13:45;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;19.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;19.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;18.09.20 14:43;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;18.09.20 14:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;18.09.20 14:34;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;18.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;17.09.20 17:39;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;17.09.20 14:26;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;17.09.20 14:25;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;17.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;17.09.20 05:06;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;17.09.20 05:01;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;17.09.20 04:53;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;17.09.20 04:53;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;17.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;16.09.20 13:15;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;16.09.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;15.09.20 13:14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;15.09.20 13:11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;15.09.20 11:27;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;15.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;14.09.20 19:53;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;14.09.20 13:18;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;14.09.20 13:16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.09.20 13:01;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;14.09.20 11:28;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;14.09.20 11:01;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;13.09.20 13:50;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;13.09.20 13:44;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;13.09.20 13:43;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;13.09.20 13:41;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.09.20 13:04;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.09.20 13:02;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;13.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;12.09.20 17:56;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;12.09.20 12:08;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;12.09.20 12:08;vpn;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;12.09.20 12:05;DC1;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;sysmail;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;sql-server;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;vpn;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Warning;12.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;12.09.20 00:37;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;11.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;10.09.20 20:19;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;10.09.20 02:01;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;27.08.20 22:24;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Information;27.08.20 22:20;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;25.08.20 17:25;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;23.08.20 22:05;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;23.08.20 22:05;GS1900-24;Interface GigabitEthernet18(Telefon Max): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;23.08.20 20:41;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;23.08.20 20:31;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;22.08.20 13:23;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;22.08.20 13:21;GS1900-10HP Gartenhaus;No SNMP data collection;2 - Medium;Network Services
Warning;22.08.20 13:21;GS1900-10HP Gartenhaus;High ICMP ping loss;3 - High;Network Services
High;22.08.20 12:55;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Warning;21.08.20 22:04;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
High;21.08.20 20:45;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Average;20.08.20 21:14;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 21:12;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 20:31;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 20:08;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 12:10;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 11:48;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 11:26;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 11:10;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 10:54;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 10:17;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 09:52;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 09:37;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 09:20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:54;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:38;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:03;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 07:39;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 07:20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 07:04;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 05:43;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 04:24;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 03:51;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 03:14;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 02:54;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 02:36;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 02:19;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 01:58;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 01:39;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 01:21;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 00:57;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 00:42;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 00:22;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 23:21;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 23:04;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;18.08.20 22:44;DC1;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;18.08.20 22:43;DC1;CPU queue length is too high (over 3 for 5m);2 - Medium;Data Center Services
Average;18.08.20 21:20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 20:59;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
High;18.08.20 20:52;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;18.08.20 20:52;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;18.08.20 20:52;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;18.08.20 20:52;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;18.08.20 20:47;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 19:55;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 19:36;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 19:21;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 19:04;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 18:42;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 18:30;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 18:14;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 17:57;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 17:40;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 16:49;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 16:35;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 16:14;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 16:08;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 15:05;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 13:36;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 13:07;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 12:35;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 12:06;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 11:26;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 10:18;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 10:01;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 09:41;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 07:52;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 07:22;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 07:11;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 06:52;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 06:36;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 05:12;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 05:02;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;18.08.20 04:21;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
